z_kkr_label;cnt
01-SH;1
02-HH;2
03-NI;1
04-HB;4
05-NW;3
06-HE;2
07-RP;2
09-BY;2
10-SL;1
11-BE;3
12-BB;2
13-MV;1
14-SN;2
15-ST;3
16-TH;1
