z_kkr_label;cnt
01-SH;8
02-HH;11
03-NI;8
04-HB;13
05-NW;12
06-HE;6
07-RP;5
08-BW;10
09-BY;9
10-SL;8
11-BE;8
12-BB;6
13-MV;12
14-SN;8
15-ST;12
16-TH;6
