z_kkr_label;cnt
01-SH;5
02-HH;7
03-NI;3
04-HB;6
05-NW;4
06-HE;7
07-RP;5
08-BW;4
09-BY;8
10-SL;4
11-BE;8
12-BB;4
13-MV;5
14-SN;13
15-ST;8
16-TH;6
