z_kkr_label;cnt
01-SH;2
02-HH;4
03-NI;5
04-HB;9
05-NW;3
06-HE;7
07-RP;3
08-BW;5
09-BY;5
10-SL;9
11-BE;2
12-BB;3
13-MV;6
14-SN;2
15-ST;7
16-TH;1
